name,company,year,Price,kms_driven,fuel_type
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000,3600,Diesel
Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000,38000,Diesel
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000,45000,Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000,35000,Petrol
Honda City 1.5 EXi New,Honda,2005,90000,50000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,155000,45863,Diesel
BMW 3 Series 320i,BMW,2011,600000,60500,Petrol
Maruti Suzuki A Star Lxi,Maruti,2011,189500,12500,Petrol
Toyota Etios GD,Toyota,2013,350000,60000,Diesel
Ford Figo Diesel EXI Option,Ford,2012,210000,35000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000,35000,Petrol
Chevrolet Beat LT Diesel,Chevrolet,2012,135000,45000,Diesel
BMW 7 Series 740Li Sedan,BMW,2009,1600000,35000,Petrol
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000,38000,Diesel
Hyundai i10 Magna 1.2,Hyundai,2014,265000,18000,Petrol
Hyundai Verna Fluidic New,Hyundai,2015,525000,35000,Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000,29000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,550000,44000,Diesel
Maruti Suzuki Ertiga Vxi,Maruti,2016,575000,29000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,485000,42000,Diesel
Maruti Suzuki Alto LXi BS III,Maruti,2012,155000,14000,Petrol
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000,49000,Diesel
Honda Amaze 1.2 S i VTEC,Honda,2014,325000,42000,Petrol
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Ford Figo Diesel EXI,Ford,2014,195000,50000,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Dzire VDI,Maruti,2015,450000,104000,Diesel
Toyota Etios Liva G,Toyota,2014,270000,55000,Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000,33333,Diesel
Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000,5600,Petrol
Nissan Micra XV,Nissan,2011,179000,41000,Petrol
Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
Maruti Suzuki Alto 800,Maruti,2018,200000,7500,Petrol
Honda Amaze 1.5 S i DTEC,Honda,2013,299000,45000,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000,38000,Petrol
Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
Honda City 1.5 V MT,Honda,2010,285000,35000,Petrol
Ford EcoSport Trend 1.5L TDCi,Ford,2016,830000,24330,Diesel
Hyundai i20 Asta 1.2,Hyundai,2009,210000,65480,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000,41000,Petrol
Tata Indica V2 eLS,Tata,2006,90000,20000,Petrol
Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
Toyota Corolla Altis 1.8 GL,Toyota,2010,289999,70000,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012,349999,59000,Petrol
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999,99000,Diesel
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999,46000,Diesel
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,399999,2800,Petrol
Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
Renault Duster,Renault,2014,449999,50000,Diesel
Honda Amaze,Honda,2015,344999,22000,Petrol
Nissan Sunny,Nissan,2012,224999,45000,Petrol
Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
Renault Kwid,Renault,2016,244999,11000,Petrol
Renault Duster,Renault,2013,399999,41000,Diesel
Ford EcoSport,Ford,2017,489999,39000,Petrol
Renault Duster,Renault,2014,474999,50000,Diesel
Mahindra Scorpio VLX Airbag,Mahindra,2011,499999,66000,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000,3000,Petrol
Chevrolet Spark LT 1.0,Chevrolet,2010,85000,45000,Petrol
Datsun Redi GO T O,Datsun,2016,245000,7000,Petrol
Maruti Suzuki Swift RS VDI,Maruti,2010,189500,38500,Diesel
Fiat Punto Emotion 1.2,Fiat,2012,169500,37200,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,159500,43200,Diesel
Toyota Etios GD,Toyota,2013,275000,24800,Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000,60000,Diesel
Hyundai i10 Sportz 1.2,Hyundai,2010,168000,45872,Petrol
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000,40000,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2011,145000,45000,Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012,98500,38000,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000,50000,Diesel
Tata Indigo CS,Tata,2011,85000,11400,Diesel
Toyota Corolla Altis 1.8 J,Toyota,2015,575000,42000,Petrol
Honda City 1.5 V MT,Honda,2014,549000,39000,Petrol
Maruti Suzuki Swift VDi,Maruti,2011,209000,47000,Diesel
Hyundai Eon Era Plus,Hyundai,2013,185000,27000,Petrol
Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
Honda Brio,Honda,2012,224999,30000,Petrol
Ford Fiesta,Ford,2011,274999,55000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda City,Honda,2015,599999,30000,Diesel
Maruti Suzuki Wagon R,Maruti,2012,199999,44000,Petrol
Honda City,Honda,2014,544999,45000,Diesel
Hyundai i20,Hyundai,2009,199000,31000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Hyundai Santro Xing XS,Hyundai,2005,49000,7500,Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000,3350,Petrol
Maruti Suzuki Zen VX,Maruti,2000,55000,60000,Petrol
Honda City,Honda,2015,448999,54000,Petrol
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000,32000,Petrol
Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,565000,62000,Diesel
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000,73000,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000,41000,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000,35000,Petrol
Tata Nano Cx BSIV,Tata,2013,40000,2200,Petrol
Maruti Suzuki Alto Std BS IV,Maruti,2013,125000,39000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000,45000,Petrol
Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000,45000,Petrol
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000,65000,Diesel
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000,54870,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2010,135000,34580,Petrol
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000,97000,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel
Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
Toyota Etios,Toyota,2011,275000,36000,Diesel
Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
Honda City ZX VTEC,Honda,2008,110000,45000,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000,71200,Petrol
Honda City VX O MT Diesel,Honda,2016,519000,52000,Diesel
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000,29000,Diesel
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000,47000,Petrol
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000,20000,Diesel
Land Rover Freelander 2 SE,Land,2015,2100000,30000,Diesel
Renault Kwid RXT,Renault,2017,340000,5000,Petrol
Tata Aria Pleasure 4X2,Tata,2014,390000,35000,Diesel
Mercedes Benz B Class B180 Sports,Mercedes,2014,1400000,31000,Petrol
Datsun GO T O,Datsun,2016,245000,7000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175400,Diesel
Honda Jazz VX MT,Honda,2016,450000,41000,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,311000,33000,Petrol
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda City,Honda,2012,399999,45000,Petrol
Honda City,Honda,2015,599999,39000,Diesel
Honda Amaze,Honda,2015,344999,22000,Petrol
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000,47000,Petrol
Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000,37000,Diesel
Mini Cooper S,Mini,2013,1891111,13000,Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000,14000,Petrol
Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
Tata Sumo Gold Select Variant,Tata,2013,300000,50000,Diesel
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000,45000,Petrol
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000,45000,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000,9300,Petrol
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000,55000,Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Ford Figo Diesel EXI,Ford,2014,195000,50000,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999,22000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13500,Petrol
Nissan Terrano XL D Plus,Nissan,2015,499999,60000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2014,489999,59000,Diesel
Renault Duster 85 PS RxL Diesel,Renault,2015,549999,19000,Diesel
Maruti Suzuki Dzire ZXI,Maruti,2013,380000,30000,Petrol
Renault Kwid RXT Opt,Renault,2018,325000,15000,Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000,56758,Petrol
Renault Kwid 1.0 RXT AMT,Renault,2018,349999,10000,Petrol
Renault Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel
Renault Scala RxL Diesel,Renault,2014,349999,49000,Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000,41000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000,45000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,120000,43000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Chevrolet Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol
Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015,220000,32700,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000,30000,Diesel
Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2016,675000,9000,Diesel
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Tata Indica V2 Xeta e GLE,Tata,2008,150000,11000,Petrol
Mini Cooper S,Mini,2013,1891111,13000,Petrol
Tata Indigo CS LS DiCOR,Tata,2009,72500,46000,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000,160000,Diesel
Tata Indica eV2 LS,Tata,2017,Ask For Price,84000,Diesel
Honda Accord,Honda,2009,175000,58559,Petrol
Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,520000,57000,Diesel
Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
Honda Amaze,Honda,2014,299999,37000,Petrol
Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
Honda City,Honda,2011,284999,55000,Petrol
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,220000,170000,Diesel
Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
Honda City,Honda,2015,644999,39000,Petrol
Honda Mobilio,Honda,2014,399999,44000,Petrol
Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
Honda City,Honda,2014,584999,39000,Petrol
Skoda Laura,Skoda,2012,349999,44000,Diesel
Renault Duster,Renault,2015,449999,49000,Diesel
Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016,689999,29000,Diesel
Maruti Suzuki Wagon R,Maruti,2016,344999,15000,Petrol
Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
Honda Amaze,Honda,2014,274999,35000,Petrol
Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
Skoda Laura,Skoda,2013,374999,50000,Diesel
Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
Tata Manza Aura Quadrajet,Tata,2012,130000,72000,Diesel
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000,60000,Petrol
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel
Audi A4 2.0 TDI 177bhp Premium,Audi,2012,1350000,40000,Diesel
Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,610000,35000,Diesel
Mahindra KUV100 K8 D 6 STR,Mahindra,2016,400000,20000,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel
Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
Hyundai i20,Hyundai,2014,449999,23000,Petrol
Hyundai Eon,Hyundai,2014,174999,14000,Petrol
Hyundai i10,Hyundai,2012,244999,38000,Petrol
Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
Datsun Redi GO,Datsun,2017,244999,22000,Petrol
Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
Hyundai Accent,Hyundai,2010,99999,45000,Petrol
Hyundai Verna,Hyundai,2014,489999,44000,Diesel
Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
Mahindra Bolero Power Plus SLE,Mahindra,2018,699000,1800,Diesel
Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
Honda City 1.5 V MT Exclusive,Honda,2010,240000,400000,Petrol
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,110000,44000,Petrol
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
Tata Indigo eCS VX CR4 BS IV,Tata,2014,250000,40000,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000,48000,Diesel
Tata Vista Quadrajet VX,Tata,2011,120000,90000,Diesel
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel
Hyundai i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,350000,166000,Diesel
Honda City ZX EXi,Honda,2008,149000,42000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2006,425000,122,Diesel
Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
Honda City 1.5 S MT,Honda,2010,225000,70000,Petrol
Hyundai Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000,55000,Petrol
Toyota Etios,Toyota,2011,275000,36000,Diesel
Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Tata Indigo LX TDI BS III,Tata,2016,130000,104000,Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,399000,41000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,450000,90000,Diesel
Honda City,Honda,2000,65000,80000,Petrol
Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000,60000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011,155000,32000,Petrol
